run_id,timestamp,protocol,workload,num_cores,total_accesses,total_hits,total_misses,global_hit_rate,global_miss_rate,total_bus_requests,total_bus_grants,total_mem_accesses,total_bus_bytes,busrd,busrdx,busupd,total_invalidations,total_updates,total_memory_accesses,total_memory_bytes,source_file,workload_base,workload_model,size,batch_id,run_index,status,bus_total_requests,bus_total_grants,bus_total_mem_accesses,bus_total_bytes,bus_total_invalidations,bus_total_updates,bus_queue_backpressure_events,bus_busrd,bus_busrdx,bus_busupd,bus_total_time_ns,bus_bandwidth_bytes_per_ns,mem_total_accesses,mem_total_bytes,mem_sim_time_ns,mem_bandwidth_bytes_per_ns,mem_max_queue_length,mem_avg_queue_wait_ns,mem_avg_service_time_ns,mem_avg_total_latency_ns,mem_total_service_time_ns,bus_bandwidth_MB_s,mem_bandwidth_MB_s,busrdx_per_access,busupd_per_access,invalidations_per_access,updates_per_access,ownership_or_update_rate
20260510_195622_r01,2026-05-10T19:56:24.441,FIREFLY,workload_contention_20,4,80,60,20,75.0,25.0,63,63,63,812,20,0,43,0,43,63,812,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_195622_r01_FIREFLY_workload_contention_20_summary.csv,workload_contention_20,CONTENTION,20,20260510_195622,1.0,PASS,63,63,63,812,0,43,13,20,0,43,462.0,1.757576,63,812,462.0,1.757576,1,0.0,1.611,1.952,101.5,1757.576,1757.576,0.0,0.5375,0.0,0.5375,0.5375
20260510_195622_r02,2026-05-10T19:56:26.017,FIREFLY,workload_contention_100,4,400,365,35,91.25,8.75,173,173,173,1672,35,0,138,0,138,173,1672,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_195622_r02_FIREFLY_workload_contention_100_summary.csv,workload_contention_100,CONTENTION,100,20260510_195622,2.0,PASS,173,173,173,1672,0,138,8,35,0,138,1358.0,1.231222,173,1672,1358.0,1.231222,1,0.0,1.208,1.607,209.0,1231.222,1231.222,0.0,0.345,0.0,0.345,0.345
20260510_195622_r03,2026-05-10T19:56:27.833,FIREFLY,workload_contention_1000,4,4000,3746,254,93.65,6.35,1667,1667,1667,13780,254,0,1413,0,1413,1667,13780,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_195622_r03_FIREFLY_workload_contention_1000_summary.csv,workload_contention_1000,CONTENTION,1000,20260510_195622,3.0,PASS,1667,1667,1667,13780,0,1413,55,254,0,1413,11586.0,1.189366,1667,13780,11586.0,1.189366,1,0.0,1.033,1.457,1722.5,1189.366,1189.366,0.0,0.35325,0.0,0.35325,0.35325
20260510_195622_r04,2026-05-10T19:56:32.744,FIREFLY,workload_contention_10000,4,40000,38658,1342,96.65,3.36,14790,14790,14790,96736,1342,0,13448,0,13448,14790,96736,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_195622_r04_FIREFLY_workload_contention_10000_summary.csv,workload_contention_10000,CONTENTION,10000,20260510_195622,4.0,PASS,14790,14790,14790,96736,0,13448,48,1342,0,13448,104532.0,0.92542,14790,96736,104532.0,0.92542,1,0.0,0.818,1.272,12092.0,925.4200000000001,925.4200000000001,0.0,0.3362,0.0,0.3362,0.3362
20260510_195622_r05,2026-05-10T19:57:05.483,FIREFLY,workload_contention_100000,4,400000,381813,18187,95.45,4.55,156123,156123,156123,1133728,18187,0,137936,0,137936,156123,1133728,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_195622_r05_FIREFLY_workload_contention_100000_summary.csv,workload_contention_100000,CONTENTION,100000,20260510_195622,5.0,PASS,156123,156123,156123,1133728,0,137936,1712,18187,0,137936,1064108.0,1.065426,156123,1133728,1064108.0,1.065426,1,0.0,0.908,1.349,141716.0,1065.426,1065.426,0.0,0.34484,0.0,0.34484,0.34484
20260510_195622_r06,2026-05-10T20:02:27.401,FIREFLY,workload_migration_20,4,80,76,4,95.0,5.0,24,24,24,208,4,0,20,0,20,24,208,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_195622_r06_FIREFLY_workload_migration_20_summary.csv,workload_migration_20,MIGRATION,20,20260510_195622,6.0,PASS,24,24,24,208,0,20,0,4,0,20,308.0,0.675325,24,208,308.0,0.675325,1,0.0,1.083,1.5,26.0,675.3249999999999,675.3249999999999,0.0,0.25,0.0,0.25,0.25
20260510_195622_r07,2026-05-10T20:02:29.343,FIREFLY,workload_migration_100,4,400,384,16,96.0,4.0,116,116,116,912,16,0,100,0,100,116,912,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_195622_r07_FIREFLY_workload_migration_100_summary.csv,workload_migration_100,MIGRATION,100,20260510_195622,7.0,PASS,116,116,116,912,0,100,2,16,0,100,1154.0,0.790295,116,912,1154.0,0.790295,1,0.0,0.983,1.414,114.0,790.295,790.295,0.0,0.25,0.0,0.25,0.25
20260510_195622_r08,2026-05-10T20:02:31.109,FIREFLY,workload_migration_1000,4,4000,3872,128,96.8,3.2,1128,1128,1128,8096,128,0,1000,0,1000,1128,8096,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_195622_r08_FIREFLY_workload_migration_1000_summary.csv,workload_migration_1000,MIGRATION,1000,20260510_195622,8.0,PASS,1128,1128,1128,8096,0,1000,2,128,0,1000,10490.0,0.771783,1128,8096,10490.0,0.771783,1,0.0,0.897,1.34,1012.0,771.783,771.783,0.0,0.25,0.0,0.25,0.25
20260510_195622_r09,2026-05-10T20:02:35.435,FIREFLY,workload_migration_10000,4,40000,38748,1252,96.87,3.13,11252,11252,11252,80064,1252,0,10000,0,10000,11252,80064,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_195622_r09_FIREFLY_workload_migration_10000_summary.csv,workload_migration_10000,MIGRATION,10000,20260510_195622,9.0,PASS,11252,11252,11252,80064,0,10000,2,1252,0,10000,103862.0,0.770869,11252,80064,103862.0,0.770869,1,0.0,0.889,1.334,10008.0,770.869,770.869,0.0,0.25,0.0,0.25,0.25
20260510_195622_r10,2026-05-10T20:03:05.164,FIREFLY,workload_migration_100000,4,400000,387500,12500,96.88,3.13,112500,112500,112500,800000,12500,0,100000,0,100000,112500,800000,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_195622_r10_FIREFLY_workload_migration_100000_summary.csv,workload_migration_100000,MIGRATION,100000,20260510_195622,10.0,PASS,112500,112500,112500,800000,0,100000,2,12500,0,100000,1037606.0,0.771006,112500,800000,1037606.0,0.771006,1,0.0,0.889,1.333,100000.0,771.006,771.006,0.0,0.25,0.0,0.25,0.25
